external_center_name,university_affiliation,est,focus,mission,operational_structure_activities,differentiators,leadership_composition,team_structure,external_board,funding_model,partners_networks,lead,contact,link,sheet
Feerick Center for Social Justice,Fordham University,2006,"works with students, alumni, lawyers, and community volunteers to connect low-income New Yorkers to the legal resources they need and cannot afford. We train law students and others to engage in social change efforts.",The center's establishment reflects the Law School's long tradition of and committment to legal education in the service of others.,"A variety of pro bono and volunteer programs
Academic courses, including a dedicated Social Justice Clinic
Innovative social justice initiatives
Legal and policy research
A series of conferences and lectures",*Program development,"John D. Feerick - Founder and General Counsel
Elizabeth B. Cooper - Faculty Director ","Staff:
Dora Galactos
Robert J. Reilly 
Fern Schair
Derek Hackett

Fellow:
Elizabeth Perez, Class of 2017

","Honorable Denny Chin – United States Court of Appeals for the Second Circuit
Kevin J. Curnin, Esq. – Partner and Director of Public Service Project, Stroock & Stroock & Lavan LLP
Bruce A. Green (Ex Officio) – Louis Stein Professor of Law, Fordham University School of Law; Director, Louis Stein Center for Law and Ethics, Fordham University School of Law
Peggy A. Healy, Esq. – Senior Vice President, Covenant House
Constantine N. Katsoris, Wilkinson Professor of Law, Fordham University School of Law
Mary Ellen Kris, Esq. – Consultant, United Methodist General Board of Global Ministries
Maura Kathleen Monaghan – Partner, Debevoise & Plimpton LLP
Jacqueline Nolan-Haley (Ex Officio) – Professor of Law, Fordham University School of Law; Director, Fordham ADR & Conflict Resolution Program
Rev. Joseph A. O’Hare, SJ – President Emeritus, Fordham University
and many more ",N/A,Americorp ,Fern Schair,"Feerick Center for Social Justice of Fordham School of Law 150 West 62nd St, 7 Floor, New York, NY 10023                feerickcenter@law.fordham.edu",https://www.fordham.edu/info/23201/about_us,External
George Warren Brown School of Social Work Center for Social Development,Washington University St.Louis,1991,Social Development,The Center for Social Develment's mission is to make and study policy that helps families and the community to make goals and contribute to society and the economy,"Research, Education, Policy Development","*innovation, research, policy development",Michael Sherraden- Founding Director Shenyang Guo- Research Director Michael Grinstein-Weiss- Associate Director,N/A,N/A,Partners,"Annie E. Casey Foundation
Arthur Vining Davis Foundations​
​Atlantic Philanthropies
Bill & Melinda Gates Foundation
Consumer Financial Protection Bureau
Charles and Helen Schwab Foundation
Charles Stewart Mott Foundation
Citi Foundation 
Corporation for National and Community Service​
Danforth Foundation
Edwin Gould Foundation ​
Evelyn and Walter Haas Jr. Fund
Ewing Marion Kauffman Foundation
Fahs-Beck Fund for Research and Experimentation
Fannie Mae Foundation
Ford Foundation 
Jim Casey Youth Opportunities Initiative
John D. and Catherine T. MacArthur Foundation 
Joyce Foundation 
JPMorgan Chase Foundation
Richard and Rhoda Goldman Fund
Rockefeller Foundation
many more ",Michael Sherraden,"One Brookings Drive
Campus Box 1196
St. Louis, MO 63130 P 314.935.7433
F 314.935.8661",https://csd.wustl.edu/Social-Innovation-Partnerships/Pages/SIPartnerships.aspx,External
Global Impact Collaboratory ,Arizona State University,N/A,#NAME?,"mission is to ensure development programs have the best possible evidence to create meaningful, measurable change. Lack of sound data that is cost-effective and timely impairs effective design of activities as well as identification of project results.",#NAME?,"*strategies for monitoring, evaluation, and learning (MEL)
*brings together directors from related orgs","Alexandra Brewis Slade | Co-Director GIC
Peggy Ochandarena | Co-Director GIC 
Roseanne Schuster | Director of MEL
Amber Wutich | Director, Center for Global Health","-Marcia Nation | Owner and Principal, Nation Evaluation Consulting
-H. Russell Bernard | Director and Professor, Institute for Social Science Research -Arizona State University
-Daniel Hruschka, Associate Director, School of Human Evolution and Social Cha",N/A,N/A,N/A,"Alexandra Brewis Slade | Co-Director GIC
Peggy Ochandarena | Co-Director GIC","Roseanne.Schuster@asu.edu
480-727-0490
 ",https://shesc.asu.edu/centers/global-impact-collaboratory,External
Global Leadership Matrix @ Columbia,Columbia,2011,"Management, Research","A research and education initiative that aims to disseminate, collect and create a body of information on global leadership. GLeaM's mission is to advance and promote understanding of leadership in a global context.","Research, Education",*free-content website that delivers the latest insights on leadership and offers sophisticated tools for individuals to assess and improve aspects of their leadership ability.,"Faculty Director: Sheena Iyengar
Director, Jeffrey Lagomarsino","2 directors, with support from faculty in the business school",N/A,N/A,Nonprofits; MacArthur Foundation,Sheena Iyengar,sheenaiyengaroffice@gsb.columbia.edu ,https://www8.gsb.columbia.edu/,External
Innovation and Policy Initiative,Insead,2010,"Business, policy",become a leading resource and knowledge hub on the role of government in fostering innovative activities in businesses and the wider community.,Education,"*Direct ties to Middle East, governments",Executive Director: Dr. Sami Mahroum,ED supported by 5 fellows,N/A,N/A,Abu Dhabi's: Education Council; Dept. of Economic Development; Center for Economic Knowledge; Competitiveness Office,Sami Mahroum,ipi@insead.edu,https://centres.insead.edu/innovation-policy/,External
Innovation Center ,Regis University,N/A,"about ideas PLUS putting those ideas into actions by creating partnerships, platforms, products and affecting policies.","seeks to bring together students, faculty, alumni, and the community to design critical, creative and systems solutions for our curriculum and the complex challenges of today's world.","*researching and developing business ideas that are society conscious
*seed funding ","*shape tank – a space where you can practice, learn, and apply the meta-principles of design (humility, human observation skills, collective and additive thinking, creativity) to any idea.

*business school plus curriculum - a curriculum intentionally designed to build grit, will, perseverance, and a desire for social change. The plus is teaching that enables empathy, cultural competence, and critical and systems thinking as the learning outcomes alongside the business content of today.","Ken Sagendorf
Professor and Director",N/A,N/A,N/A,N/A,Ken Sagendorf,"p: 303.964.6469
e: ksagendorf@regis.edu",https://www.regis.edu/CBE/Centers/Innovation.aspx,External
Innovation Insights Hub,"University of the Arts, London",2010,"business, technology and society",Hub connects insights and ideas from creative research and practice to contemporary challenges resulting in innovative outcomes for society and business.,"Education, Research","*Across UAL
*Exploring design/art and business/innovation
*Offer connector events, challenges/sprints, training and short courses ","Director: Lucy Kimbell - no degrees listed, but was AHRC research fellow in Policy Lab, Clark fellow in design leadership at Said Business School, University of Oxford
Assistant: PhD Student","Director and project assistant for the overall center; project managers and coordinators for each research focus
*3 projects with various funding and organizations inputs","ADVISORY Group
Dr Jamie Brassett, course leader MA Innovation Management, Central Saint Martins
Dr Marc Ventresca, Said Business School, University of Oxford
Ben Reason, Founding partner, livework
Emanuela Vartolomei, AllStreet",N/A,N/A,Lucy Kimbell,l.kimbell@arts.ac.uk,http://www.arts.ac.uk/research/ual-research-centres/innovation-insights-hub/,External
Institute for Social Innovation,Fielding Grauate University,1974,Social Innovation,"We provide exemplary interdisciplinary programs within a distributed and relational learning model grounded in student-driven inquiry and leading to enhanced knowledge. This community of scholar-practitioners addresses personal, organizational, societal, ecological, and global concerns in pursuit of a more just and sustainable world.","Education, Research","*publications written, awards won, human development",Ruttanatip Chonwerawong-Dean of Student Development Lias Lewis-Vice President Gerald Porter-Provost/Senior Vice President Katrina Rogers-President Steven Schapiro-Dean of Academic Affairs Orlando Taylor-VP of Strategic Intiatives and Research ,N/A,Board of Trustees,N/A,N/A,Katrina S. Rogers,"2020 De la Vina Street 
Santa Barbara, California 93105-3814
800.340.1099",http://www.fielding.edu/our-programs/institute-for-social-innovation/,External
Institute for Social Innovation,Carnegie Mellon University,2006,"Social Innovation, Entrepreneurship",To give students the ability to launch new business and policy ideas that benefit socially. ,"Research, Policy Development","*multidiscipliary, entrepreneurship",Tim Zak-Director ,,N/A,N/A,N/A,,"5000 Forbes Ave, Hamburg Hall, Pittsburgh, PA 15213-3890 · 412.268.2159",https://www.heinz.cmu.edu/institute-for-social-innovation/,External
Institute for Social Science Research,UMass Amherst,," social science research through four areas of strategic focus: 1) research methods instruction, 2) building interdisciplinary connections, 3) research project support, and 4) promoting social science visibility.","works to build a collaborative space for researchers, faculty, and graduate students to explore ideas together, to obtain support for their research, and to promote the findings of innovative social science research through communication and outreach."," We offer a strategic range of methodology workshops, seminars on research issues, research consultation, and support for proposal writing and grant administration.",*coordinates faculty funding ,"Laurel Smith-Doerr
Director of ISSR, Professor of Sociology
ISSR

Henry Renski
Associate Director, ISSR and Associate Professor
Department of Landscape Architecture & Regional Planning","Jessica Pearlman
Research Methodologist
ISSR

Karen Mason
Grants, Personnel and Budget Manager
ISSR

Gretchen Gano
Grants Development Social Scientist
ISSR

Elisa Martinez
Program Assistant
ISSR","Marjorie Aelion
Michael Ash
Michelle Budig
Krista Harper
John Kingston
Barbara Krauthamer
Jennifer Lundquist
Thomas P. Moliterno
Sharon Rallis
Darrel Ramsey- Musolf
Brian Schaffner
John Spraggon","LYNDE AND HARRY BRADLEY FOUNDATION
CARNEGIE CORPORATION OF NEW YORK
CARTHAGE FOUNDATION 
ANNIE E. CASEY FOUNDATION 
CENTER FOR GLOBAL PARTNERSHIP (C/O JAPAN FOUNDATION)
CHIANG CHING-KUO FOUNDATION FOR INTERNATIONAL SCHOLARLY EXCHANGE
CHRISTENSEN FUND 
COMPTON FOUNDATION
DORIS DUKE CHARITABLE FOUNDATION
EARHART FOUNDATION
FORD FOUNDATION 
FOUNDATION FOR CHILD DEVELOPMENT
GRAHAM FOUNDATION FOR ADVANCED STUDIES IN THE FINE ARTS 
WILLIAM T. GRANT FOUNDATION
HARRY FRANK GUGGENHEIM FOUNDATION
JOHN SIMON GUGGENHEIM FOUNDATION
WILLIAM AND FLORA HEWLETT FOUNDATION
HOROWITZ FOUNDATION 
and many more ",N/A,Laurel Smith-Doerr,"E22 Machmer Hall
University of Massachusetts
Amherst, MA 01003
 
Phone: 413 545-5970
Fax: 413 545-1925
 
Email: issr@issr.umass.edu",https://www.umass.edu/issr/,External
Keller Center,Princeton,2005 (renamed from Center of Innovation in Engineering Education),"Design, technology, innovation","The Keller Center's mission is to educate leaders for a technology-driven society, by innovating education and fostering entrepreneurship, innovation and design",Education,"*makerspace, accelerator","Director: Margaret Martonosi
Executive Director: Cornelia Huellstrunk
Associate Director, Outreach: Lilian Tsang ","Director; ED; Associate Director; Program Managers, Coordinators, Admin staff support",,Donations,N/A,Margaret Martonosi,kellrctr@princeton.edu,https://kellercenter.princeton.edu/,External
LSE Enterprise,London School of Economics,N/A,"business, enterprise, consulting",We provide in-house venture development services to LSE academics looking to commercialise their intellectual property and increase their impact.,Venture development,*bring benefit to LSE through commercial activities,N/A,N/A,"They are an independent Ltd, with a board, but they are not listed. ",N/A,N/A,N/A,N/A,http://www.lse.ac.uk/business-and-consultancy,External
Marshall institute,London School of Economics,2015,"public-private partnerships, education","aims to increase the impact and effectiveness of private action for public benefit through research, teaching and convening.","Education, Research","*ensuring that private orgs fufill their duty to the public
*providing entrepreneurs with support","Director: Stephen Chambers, Previously @ Skoll Center, Said business school; Masters at Oxford
Research Director: Nava Ashraf, PhD Econ at Harvard
Teaching Director: Jonathan Roberts, PhD from LSE","Director, with directors of research and teaching. Supported by fellows, assistants, professors.",N/A,Founding gift of £30 million donation from Paul Marshall,N/A,Stephan Chambers,"marshallinstitute@lse.ac.uk
 s.chambers1@lse.ac.uk",http://www.lse.ac.uk/Marshall-Institute,External
Michigan Ross Center for Social Impact,University of Michigan,2014,"Social innovation, Nonprofit/Public Management, Social Enterprise/Entrepreneurship, Social Funding,Education Management, International Development, Comunity/Economic Development, Sustainability, Public Health",To prepare and inspire leaders to address complex social challenges.,"Research, Education",*workshops,Matthew Kelterborn-Program Director Glenn Bugala-Marketing Manager Ali Kruger-Community Bulider Ruedee Vance-Administrative Coordinator,Here,N/A,Partnerships,Campus and Community Partners,,"Center for Social Impact
700 E. University, Kresge Hall
3rd Floor West, Suite K3510
Ann Arbor, Michigan 48109-1234
 734.763.4214 |  socialimpact@umich.edu
",http://socialimpact.umich.edu/,External
"MIT Institute for Data, Systems, Society",MIT,2015,"data, statistics","IDSS's works to advance analytical methods in information and decision systems; statistics and data science; and the social sciences, and to apply these methods to address complex societal challenges","Education, Research","*Data driven across disciplines
*Looking at resiliency and risk as well as systems and sustainability","Director: Munther Dahleh - Electrical Engineering background, professor
Deputy Director: Alberto Abadie - Prof. Economics; PhD in econ from MIT
Associate Director: Ali Jabadbaie
Associate Director: John Tsitsikils, PhD MIT electrical engineering
","Director, 2 deputy directors, and heads of each specialty
Supported by PhD/graduate students, research fellows, admin staff","Advisory Council
12 members
VP Foxconn, Managing Director GE Ventures, Director of Democrats for Ed Reform, Triad Capital Mgmt, CEOs, CFOs, Founders, Venture Capitalist,",N/A,"Booz Allen Hamilton, Reuters, World Quant",Munther Dahle,dahleh@mit.edu,https://idss.mit.edu/about-us/,External
MIT Media Lab,MIT,1985,"design and technology, multimedia",Media Lab researchers design technologies for people to create a better future.,"Reseach, inventions","*Inventions including electronic ink, 3D digital holographic imaging, One Laptop per Child
*Many spin off companies","Director: Joi Ito - N/A; Honorary Doctorate from The New School
Director of Operations and Strategy: Barak Berkowitz
Director of Computing: Michail Bletsas
Director of HR: Martha Collins
Director of Communications: Jennifer McDonald
Director of Facilities: Jessica Tsymbal
Degrees include: M. Arch from MIT, MS Journalism from Colombia, JD NYLaw, MS Computer Engineering BU","Director, with support directors of Operations, Computing, HR, Comms, and Facilities. Professor of Media and Sr. Research Scientist. Support from faculty and graduate fellows, coordinators and project managers","Advisory Council of 37 members:
Senior Curator, MoMA; Clinical Professor at Georgetown; Vice Chair, GE; Founders; Authors; Musicians; Dean of Harvard Law; etc.",Almost enitrely corporate sponsorship. Some funding through traditional government research grants,"Panasonic, Samsung. Many many more listed here.",Joi Ito,joi@MEDIA.MIT.EDU,https://www.media.mit.edu/,External
Princeton Entrepreneurship Council,Princeton,2015,education and entrepreneurship,the advisory and coordination body on entrepreneurship programs at Princeton University. ,Venture development,*links all Princeton entrepreneurship pieces,"Executive Director: Anne-Marie Maman
Program Manager: Lauren Bender
Alumni Outreach/Engagement: Donald Seitz","ED; One each of Program Manager, Admin, Marketing, Tech, Interns. Supported by Committees and task forces ",N/A,N/A,All princeton related groups,Anne Marie Maman,amaman@princeton.edu,https://entrepreneurs.princeton.edu/,External
Rustandy Center for Social Sector Innovation,University of Chicago Booth School Business,N/A,Social Impact Research,"The Rustandy Center main mission is to do reseach on social and The Rustandy Center for Social Sector Innovation is the destination for people committed to tackling complex social and environmental problems. As Chicago Booth’s social impact hub, we build on the school’s grounding in business fundamentals with experiential learning and research. Through programs and events in social innovation and social enterprise, we equip our community with the knowledge and tools to positively impact humanity.enviomental factors all while giving back to the Chicago comunity. ","Research, Education","*multidisciplinary approach, experience-based learning",#NAME?,"4 Leads
Staff:
Ally Batty
Associate Director, Marketing And Communications 

Sarah Dougans
Associate Director, Programs

Will Gossin
Senior Associate Director

Salma Nassar
Associate Director, Research Initiatives 

Erica Phillips
Senior Associate Director

Gina Potthoff
Assistant Director, Marketing And Communications

Fern Ramoutar
Research Professional

Cortney Robinson
Associate Director, The Hong Kong Jockey Club Programme On Social Innovation

Charisma Thapa
Research And Marketing Manager

","Advisory Council

Arthur Bilger, ’77, Managing Member, Shelter Capital Partners LLC
Keith Breslauer, ’88, Founder and Managing Director, Patron Capital Ltd.
Jessica Droste Yagan, CEO, Impact Engine
John Edwardson, ’72, Chairman, Advance Illinois, and Retired Chairman and CEO, CDW
Sunil Garg, AB ’89, MBA ’00, Energy Solutions Leader, Uptake
Rich Hoops, ’00, Cofounder, Impact Hub Boulder
Susan Kelly, ’96, Director, The Art of Youth Foundation
Irving Levin, AB ’76, MBA ’77, Chairman, Genesis Financial Solutions
Trinita Logue, Member, Board of Managers, Arc Chicago LLC
Judy Maley, ’84, Social Enterprise Advisor
Luis Miranda, ’89, Past President and CEO, IDFC Private Equity
 and many more ","Donors

TANDEAN RUSTANDY, ’07 (AXP-6)
JOHN EDWARDSON, ’72
RON TARRSON, ’72 (XP-31)",N/A,#NAME?,"The Rustandy Center for Social Sector Innovation
The University of Chicago Booth School of Business
5807 S. Woodlawn Ave.
Chicago, Illinois 60637

773.834.2716
rustandycenter@chicagobooth.edu",https://www.chicagobooth.edu/research/rustandy/,External
School for Social Innovation ,"
Boston College School of Social Work ",N/A,Social Service,"The Center for Social Innovation fosters effective, sustainable social innovations that enhance social justice by promoting ""innovation from within"". We strive to build capacity within the social sector by preparing tomorrow’s social service leaders, promoting the capacity of existing social service agencies to respond to current and future social issues, and building the evidence-base for social innovation.","2 Co-Directors: 
Stephanie Cosner Berzin, Ph.D &
Tiziana Dearing 
Assistant Director: Olivia Mathews","*promoting the capacity of existing social service agencies to respond to current and future social issues
*operates a social innovation practice lab","2 Co-Directors: 
Stephanie Cosner Berzin, Ph.D &
Tiziana Dearing 
Assistant Director: Olivia Mathews","2 Co-Directors, 
1 Assistant Director",N/A,,,,"stephanie.berzin@bc.edu
617-552-0197
olivia.mathews@bc.edu
tiziana.dearing@bc.edu
617.552.1605
                                 
Boston College
Center for Social Innovation
School of Social Work
140 Commonwealth Avenue
Chestnut Hill, MA 02467
social.innovation@bc.edu",http://www.bc.edu/schools/gssw/csi/about.html,External
Skoll Centre for Social Entrepreneurship,Oxford,2003,business and entrepreneurship,Advancing social innovation for transformational change,"Education, Ventures","*a social impact centre within Saïd Business School
*partners with the Skoll Foundation","Director: Dr. Peter Drobac, Executive Director of the University of Global Health Equity (UGHE); MD Harvard","Director, supported by project managers, coordinators, fellows, professors",N/A,N/A,LSHTM; Skoll Foundation,Dr Peter Drobac,skollcentre@sbs.ox.ac.uk,https://www.sbs.ox.ac.uk/faculty-research/skoll,External
Social Innovation at the Swearer Center,Brown University,,,"provides opportunities for students, alumni and community partners to explore social innovation, sparks new relationships and inspires new ideas for social change. Social innovation can be done in and through new social ventures, social movements, community organizing, social policy change, organizational change and intraprenurship and other modes of social change.  ",,"*social entrepreneur in residence - serve as an educator, advisor, and convener within the social innovation community at Brown. This includes teaching a course that introduces students to the theory of social innovation, adapted to reflect the work of each social entrepreneur; advising students through individual mentorship and holding regular campus office hours; and developing a project of personal interest leveraging the resources and expertise at Brown. This residency is anticipated at 80% time, four days per week.","1 Executive Director
1 Program Manager",,,,"Ashoka U
Changemaker Campus
Seeds of PEACE Gather Fellowship",,"Brown University
25 George St.
Box 1974
Providence, R.I. 02912 
+1 401 863 2338
swearer_center@brown.edu",https://www.brown.edu/academics/college/swearer/initiatives/social-innovation-initiative/25,External
Social Innovation Center,Insead,N/A,Business education,"promote a non-dogmatic learning environment that brings together people, cultures and ideas from around the world, changing lives, and helping transform organisations through management education.",Education,,"Academic Directors in:
Social Impact - Jasjit Singh
Humanitarian Research - Luk Van Wassenhove
CSR and Ethincs - Craig Smith
Executive Director: Luke Disney","3 Academic Directors, Executive Director, with support from faculty, admin,  and students",N/A,"Individual donors; corporate sponsors like COMARCO, Dreyfus Sons, Apax",Wharton; Net Impact; ,Luke Disney,uke.disney@insead.edu,https://centres.insead.edu/social-innovation/who-we-are/team.cfm,External
Social Innovation Centre,INSEAD,,"brings together and enhances the academic expertise of a diverse group of leading INSEAD research teams. While some focus on challenges and opportunities for mainstream business, others concentrate on the application of business concepts for tackling global issues. Please find below the contact details of the Faculty members of our Research Groups & Initiatives, Visiting Professor, Emeritus Professor, Executives in Residence, Visiting Scholars and Visiting Researchers.","aims to develop innovative business models across Corporate Social Responsibility & Ethics, Humanitarian Research, Social Entrepreneurship and Sustainability.","cross-disciplinary research, education, projects and engagement in the area of Business in Society.
The Centre aims to develop innovative business models across Corporate Social Responsibility & Ethics, Humanitarian Research, Social Entrepreneurship and Sustainability","*believes successful businesses can't exist in failing societies 
*International partnerships","Corporate Social Responsibility and Ethics
N. Craig Smith (UK) 
Academic Director, CSR and Ethics Research Area

	
Humanitarian Research
Luk N. Van Wassenhove (Belgium) 
Academic Director, Humanitarian Research Group

	
Social Impact
Jasjit Singh (India)
Academic Director, Social Impact Initiative","3 Academic Directors
10 Associated Faculty
3 Research Fellows
2 Research Associates
1 Research Intern
1 Research Editor/Writer
4 Admin ",N/A,"Gives funding to various indiduals, organizations as awards for Social Innoation Centre; CorporateSocial responsibility and ethics; Humanitarian Research Group","Wharton School; University of Pennsylvania
Initiative for Global and Environmental Leadership
Pepal Programme
INDEVO/Net Impact
Energy Club
Environment and Business Club
UN Global Compact’s Principles for Responsible Management Education",,"INSEAD Social Innovation Centre
Europe Campus

Boulevard de Constance
77305 Fontainebleau Cedex
France

Tel: +33 1 60 72 41 89/ +33 1 60 72 91 16
Fax: +33 1 60 74 55 66
Email: social.innovation@insead.edu",https://centres.insead.edu/social-innovation/who-we-are/,External
Social Innovation Collaboratory,Fordham University,N/A,"a network of Fordham University students, faculty, administrators, alumni and community members, working together to promote social innovation for the achievement of social justice, social entrepreneurship and environmental sustainability. We do this through:

Curricular, co-curricular, and extra curricular initiatives
Cross audience and cross school collaborations
Community engagement events and program opportunities","to establish Fordham University as a leader in social innovation education to empower students to be changemakers for a more just, sustainable, and prosperous world.

Inspire creative actions to make the world a better place by:
-Building awareness and capacity to solve systemic social and environmental problems.
-Creating collaborations across schools, disciplines and diverse constituencies to promote social innovation.
-Developing conceptual and practical skills using innovative learning experiences to empower changemakers.","
-Curricular, co-curricular, and extra curricular initiatives
-Cross audience and cross school collaborations
-Community engagement events and program opportunities","*""not another center or institute. We are a network of exciting academic and research programs, institutes and centers, student groups and neighborhood partners coming together through the process of collaboration.""","Garrett Broad
Professor of Communication and Media Studies

J. Alan Clark
Faculty, in Biology and Conservation Law
Program Coordinator, Fordham’s Graduate certificate in Conservation Biology


Elaine Congress
Associate Dean and Professor
Associate Director, The Fordham Center for Nonprofit Leaders


John Davenport
Professor of Philosophy
Director of Peace & Justice Studies
Associate Director of Environmental Studies","Collaboratory Management Board
Collaboratory Steering Committee","Steering Committee

Ron Jacobson - AVP Provost Office,
Associate Vice President Continuing Education and Professional Development, Professor, Communication and Media Studies

Donna Rapaccioli
Dean, Gabelli School of Business
Dean of Faculty, Fordham Schools of Business


Debra McPhee
Dean, Graduate School of Social Service

John Harrington
Dean, Faculty of Arts and Sciences
Professor, English Department
",N/A,"Beck Institute for Religion and Poverty
Bronx Science Consortium
Center for Digital Transformation
Center for Ethics Education
Center for Humanistic Management
Center for Nonprofit Leaders
Center for Peace and Justice
Center for Positive Marketing
Center for Research in Contemporary Finance
Conservation Biology (Graduate program in Biology)
Consortium for Trustworthy Organizations
Consortium for Social Justice
Dorothy Day Center for Service and Justice
Environmental Studies
Ethics and Society Masters
Fair Trade and Microfinance Program (Undergraduate program at Gabelli School of Business)
Feerick Center for Social Justice
Fordham Center on Religion & Culture
Fordham Law — Louis Stein Center for Law and Ethics
Fordham Law — Urban Law Center
Fordham Law — Leitner Center
Fordham Law — Public Interest Resource Center
GSE Center for Community Partnerships
GSSS Center for Nonprofit Leadership
International Political Economy Development (Graduate School of Arts and Sciences)
Institute of International Humanitarian Affairs
Peace and Justice Studies Program (Undergraduate in Philosophy/Environmental Studies at Fordham College at Rose Hill)
Sustainable Business Minor
University Neighborhood Housing Program","Carey Weiss
Director, Sustainability Initiatives
Social Innovation","Fordham Social Innovation Collaboratory
Fordham University
441 E. Fordham Road, Hughes 519
Bronx, NY 10458
socialinnovation@fordham.edu

Carey Weiss
Director, Sustainability Initiatives
Social Innovation
Gabelli School of Business
Fordham University
441 E. Fordham Road, Hughes 519
Bronx, NY 10458
cweiss5@fordham.edu",https://www.fordham.edu/info/23746/social_innovation_collaboratory,External
Social Innovation Incubator at Duke,Duke University: Innovation and Entrepreneurship,N/A,"an incubator providing mentorship, coaching, and access to additional advisors and financial resources to compelling social entrepreneurship programs created by students    ","seek to make Duke an agent of transformation through an entrepreneurial spirit, generating innovations from the ideas that grow at the university and translating those innovations to positively impact individuals, communities, institutions, and societies. We seek to inspire and prepare all members of the university community for innovative leadership and to actively support and encourage the translation of knowledge in the service of society.",#NAME?,*funding support and guidance for projects,"""Senior Leadership""

- Kip Frey | Director
- Kathie Amato | Senior Strategist for Education & Director of Undergraduate Studies
- David T. Robinson | Senior Strategist for Research
- Bruce Sullenger, PhD | Senior Strategist for Translation","Staff of 27

- Administration, Facilities & Development
- Arts Entrepreneurship
- Communications
- Duke Angel Network
- Education Senior Leadership
- Social Entrepreneurship
- Student and Alumni Affairs
- Translation Services",N/A,#NAME?,N/A,Kip Frey,Katherine Black (katherine.black@duke.edu),https://entrepreneurship.duke.edu/social-entrepreneurship/design-to-impact-incubator-2/,External
Social Innovation Initiative at McCombs ,The University at Texas at Austin,N/A,"Social Innovation at McCombs' interdisciplinary courses and programs provide our community of learners the knowledge and practical opportunities to work across sectors to effect positive change: corporate social innovation, Social entrepreneurship, public/social sector innovation, ESG and Impact Investing ","to inspire and educate future generations of leaders to create economic value for their organizations while also creating positive social and environmental impact.  Global challenges such as climate change, poverty, inequality, lack of access to healthcare and education, are too vast and urgent for governments or the social sector to solve alone.  For businesses, sound economic reasons exist for supporting their communities and providing stewardship of the environment.  ",combines coursework and programs for a well rounded social innotion program ,"Graduate and undergraduate concentrations, with specific coursework focused on: corporate social innovation, Social entrepreneurship, public/social sector innovation, ESG and Impact Investing ","Meeta Kothare
Managing Director

Stephen Limberg
Co-Executive Director

Laura Starks
Co-Executive Director","1 mangaing director
2 Co-Directors",N/A,N/A,"The Austin Technology Incubator
The Campus Environmental Center
The Center for Sustainable Development
The Kay Bailey Hutchinson Center for Energy, Law and Business
Office of Sustainability 
The RGK Center for Philanthropy and Community Service
Austin Startup Week 
Capital Factory
Impact Hub Austin
MBA Impact Investing Network and Training (MINT)
South by Southwest ECO
Good Capital Project
US Business Council for Sustainable Development   ","Meeta Kothare
Managing Director",socialinnov@mccombs.utexas.edu,https://www.mccombs.utexas.edu/Centers/Social-Innovation-Initiative,External
Social Innvation Fellows Program ,University of Maryland ,N/A,"Social Innovation, Business",The mission is to immerses students in the role of entrepreneurship – and intrapraneurship – in driving positive social and environmental change through business.,Research,"*entrepreneurship, intrapraneurship, social entrerprise, ",David Kirsch- Faculty Champion,"1 professor
team of students ",N/A,N/A,N/A,David Kirsch ,"edoane@rhsmith.umd.edu Robert H. Smith School of Business, University of Maryland, College Park, MD 20742",https://www.rhsmith.umd.edu/centers-excellence/social-value-creation/educate/social-innovation-fellows,External
"Social Justice, Inclusion, and Conflict Resolution",Rowan University,N/A,Society,"Aim to improve experience and quality of students’ education retention and progress to graduation by providing students opportunities for personal, social, professional, and academic identity development. ",Research,*Workshops,,N/A,,N/A,N/A,,,,External
Social Movements Lab,Duke University: Franklin Humanities Institute,2017,#NAME?,"to understand various social movements in progress and in relation to each other, connecting students, faculty, and Duke departments, centers, and institutes in the humanities and social sciences. Projects will extend beyond campus to engage activists in discussion through videoconferencing and visits to Duke’s campus.The lab plans to recruit students presently engaged in activism, and partner with self-organized undergraduate and graduate student groups.","Hub for campus activities
community activist engagement
recruiting student activist
facilating cinversations
partnerships with internal and external groups ",*international partnership,"2 Co-Directors
1 Program Coordinator
1 Graduate Fellow ","Co-Director - Michael Hardt (Duke)
Co-Director - Sandro Mezzadra (Univ. of Bologna)
1 Program Coordinator - Eli Meyerhoff
1 Graduate Fellow - Amanda Bennett","Duke University
-Roberto Dainotto
-Wesley Hogan
-Wahneema Lubiano
-Jessica Namakkal
-Kathi Weeks

University of Virginia
-Sreerekha (Sree) Sathiamma
-Debjani Ganguly
  
University of Bologna
-Paola Rudan
-Raffaele Laudani",N/A,"Collaborative Effort with 
University of Bologna
University of Virginia 
Campus Organizations ","Co-Director - Michael Hardt (Duke)
Co-Director - Sandro Mezzadra (Univ. of Bologna)", Lab manager: eli.meyerhoff@gmail.com.,https://sites.fhi.duke.edu/socialmovementslab/,External
